,PROVINCE,MKT_CAP_CSRC,PB_LYR
603103.SH,浙江省,10166226000.0,4.258499310731862
603886.SH,上海,3984000000.0000005,2.6705356440950796
603869.SH,广西壮族自治区,5539415577.84,1.4023209264886767
603826.SH,福建省,12898080000.0,9.197598394740451
601339.SH,浙江省,5085000000.0,0.6377277733244088
600588.SH,北京,118555394316.8,16.528850645166717
300651.SZ,江苏省,3283042890.0,4.906073848481288
600837.SH,上海,104550334845.6,1.1785295718941637
601838.SH,四川省,28283927945.22,0.7955897131152556
600900.SH,北京,375980000000.0,2.5147452402180552
603200.SH,上海,7000022443.499999,9.050053476956538
603882.SH,广东省,32509804967.0,14.291412772023623
601021.SH,上海,32204644557.69,2.141472718958277
600745.SH,湖北省,128477052938.7,6.063277691997607
300699.SZ,山东省,28892829000.0,8.902462719191027
600529.SH,山东省,24709010532.91,6.388424798589173
600970.SH,江苏省,10211298517.11,1.0026305900730719
603711.SH,浙江省,11361708787.0,4.48349220499159
603283.SH,江苏省,7307752305.500001,7.22257874429368
600547.SH,山东省,95236766741.16,4.892244251880997
601607.SH,上海,35633497931.54,1.264164779541948
600600.SH,山东省,38525777837.119995,3.9011075610481587
000049.SZ,广东省,9841892555.000002,4.477291950619802
603601.SH,重庆,8657641782.310001,6.076081297928292
600031.SH,北京,172000517890.39,
601233.SH,浙江省,21805627654.600002,1.1473063271226112
300036.SZ,北京,11804851257.42,5.54746649113353
600835.SH,上海,13470961067.09048,1.312671522980801
603728.SH,上海,4846400000.0,2.412335415124566
601288.SH,北京,1091815200857.34,0.6406048501252691
603339.SH,江苏省,2882032290.0,1.651214144864047
300681.SZ,广东省,2570400000.0,4.561674497988237
600729.SH,重庆,10833983592.25,1.7219149029119412
002746.SZ,山东省,6366498176.03,1.931680194292556
600136.SH,湖北省,4951719736.81,1.1509646945416299
600771.SH,青海省,6135236221.59,2.603055462994136
000063.SZ,广东省,163877565337.92,6.798479391086816
002456.SZ,广东省,42836171903.75,4.528715895741853
000661.SZ,吉林省,123763464682.0,15.3090336880682
300136.SZ,广东省,41990542526.1,8.904458825841118
603027.SH,四川省,15822186691.520002,9.935240691078324
600885.SH,湖北省,24003664820.959995,4.875289031222279
600741.SH,上海,70242690363.52,1.4212551433023677
000550.SZ,江西省,8010450418.4,1.0139917064349995
600467.SH,山东省,3827805076.480001,1.1843204941570609
601098.SH,湖南省,19145360000.0,1.40058539788143
600612.SH,上海,17861096757.549557,3.219199719156085
600115.SH,上海,47499581246.240005,1.0063922881509393
600436.SH,福建省,87499094966.3,13.194762123541595
601168.SH,青海省,13154159999.999998,1.311022196292103
600100.SH,北京,22288520111.52,1.3663687973213392
300365.SZ,北京,6761162894.04,3.155541418910664
600466.SH,四川省,16890529796.000002,0.879103761352481
600438.SH,四川省,62859964327.44,3.5762528456658225
300408.SZ,广东省,37036370467.5,4.931659712769752
600559.SH,河北省,7985858251.6,2.4283697612896344
000615.SZ,湖北省,3246576859.55,1.7704618542297605
600660.SH,福建省,41381697619.12,2.4238413915798747
600536.SH,北京,44016087598.0,19.366329260143036
603186.SH,浙江省,7436331500.0,10.012004783415302
600104.SH,上海,237057431095.84998,0.9493613262690678
300482.SZ,广东省,29436228578.7,13.23971519738822
603568.SH,浙江省,29973749466.43,7.119043133947982
603127.SH,北京,16613179191.6,20.100186642473723
600990.SH,安徽省,6263697978.5,2.5320619980715584
601908.SH,北京,6517167882.27,0.9127074598180375
300271.SZ,北京,22096366737.9,3.722004178992037
603108.SH,上海,5772159426.84,2.092572054433502
600036.SH,广东省,721394186682.13,1.5278638211528213
600997.SH,河北省,7224489322.05,0.637997458232521
603118.SH,广东省,9828541316.439999,2.212359214488982
600346.SH,辽宁省,99532870974.04001,2.7394617112424045
000001.SZ,广东省,270712558862.09998,0.864943331944866
600809.SH,山西省,94430087621.09999,12.680378011808418
601928.SH,江苏省,16898136000.0,1.2147530438358631
000002.SZ,广东省,255357400956.58002,1.5782019309516746
000630.SZ,安徽省,20421474617.519997,1.1114359363454025
000568.SZ,四川省,119582392140.64,6.161866479045309
300762.SZ,上海,6720010400.0,5.517422961903605
002340.SZ,广东省,19669264558.02,1.8760281610718539
601377.SH,福建省,40849697211.399994,1.256703082988351
601628.SH,北京,581809428200.0,1.955884768577684
601225.SH,陕西省,73400000000.0,1.2600037149830194
000768.SZ,陕西省,49614119672.32001,2.998005842981394
600151.SH,上海,6310710062.8,1.1931408551409917
300765.SZ,河北省,9345000000.0,3.8833947523472427
600879.SH,湖北省,18654201008.24,1.507609480793263
601860.SH,江苏省,15302515556.019999,1.1129782151069592
002951.SZ,四川省,5771250000.0,4.359827850624381
000738.SZ,江苏省,15202673971.23,2.69935157867159
000166.SZ,新疆维吾尔自治区,100961031628.80003,1.348204401965767
