index,年振幅,区间换,非系统,波动率,duvol
600114.SH,91.14219114219114,858.169294313154,0.07670870306596426,64.93798860268252,-78.59657057427908
000961.SZ,39.146919431279606,206.31836553741977,0.047856857376128194,42.42016866339238,-43.4340478608738
000166.SZ,21.679687499999993,52.48088796724059,0.01750549874221708,23.911830331151755,-20.430567865330378
600855.SH,163.54759967453217,984.4110273204477,0.10336609662290126,76.96361347652903,-80.17769658553881
000671.SZ,30.588235294117634,175.21731485360655,0.04973549374366129,40.2405312481806,-77.70282401117291
603456.SH,81.49210903873745,306.0950521863131,0.09221253393295502,65.99792723622093,-44.84954579077632
002396.SZ,52.615298087739035,690.5790646760516,0.055257371358462565,41.41260817334515,-14.171599587617953
002179.SZ,24.98719918074758,187.23065339022003,0.02964382086586946,25.39866307508458,-27.99032659098663
600529.SH,72.39507959479016,261.98645777138745,0.051841031750949645,38.75125665205025,-20.933511150516573
002050.SZ,49.33641084824005,243.4133299675024,0.05139172080416934,42.608660734178805,-64.35217657327134
600016.SH,15.055467511885897,46.79685071963319,0.01014077384357561,12.268681475980868,-12.594056311356358
0268.HK,79.1238,148.2197,0.0687,49.6096,-3.130381538622265
300601.SZ,72.3203098302768,393.8434949630233,0.05690697050257104,42.13929324343761,-7.9915424030333115
601139.SH,27.586206896551722,110.09058167582747,0.03530581685863548,28.063546082524315,-78.4695993670369
1299.HK,33.9242,53.0401,0.0341,28.7832,-6.503516114690629
002311.SZ,47.00000000000002,124.4170825882867,0.041253043565002825,31.56665991997418,-35.43125044861103
600519.SH,31.94420963651734,72.72968628029761,0.032700620085417104,27.49119978073561,-15.60738795957693
600837.SH,23.091849935316954,231.88832104424688,0.027531398555905324,32.876705098644074,-77.99881243598267
0939.HK,15.3046,36.8929,0.0232,19.91,-16.20581703454085
601877.SH,30.373134328358216,110.20225480774326,0.02923133329501867,30.23291241528714,-37.740275885561275
601098.SH,29.899497487437188,78.8004201002228,0.028199577747034237,23.789723347556873,-10.41124004769341
600673.SH,37.89062499999999,210.21381093821074,0.035336476307961155,26.66221180604531,-36.25394705895943
000876.SZ,99.59899749373433,330.4254250629508,0.07257375898873374,52.65161496642524,-56.48400058070079
600884.SH,46.55810510732791,307.9170865771903,0.04358310260290692,37.2161846272039,-17.220654790803845
300590.SZ,91.26589275843006,1016.3745262038881,0.06450542217148658,53.074348639807056,-14.047739765103733
300129.SZ,32.71604938271604,394.5404617841775,0.03543253160708414,36.54600440007635,-31.527651520894583
002353.SZ,57.35930735930735,506.1005702551706,0.05777790984545922,46.762479508087935,-27.62688739856378
000878.SZ,36.09077598828698,349.43405680372496,0.03209342955160401,35.306806015781355,-58.12217146787136
002555.SZ,48.34756776828816,461.9469488434689,0.07100412597214942,51.659384727415144,-17.197249235298496
002705.SZ,96.90721649484537,173.98098213046595,0.0602809936227532,48.9936540340384,-44.594711102191106
000031.SZ,32.86908077994429,183.68423165181224,0.040890944441257494,37.193766282463805,-40.09059525332111
300015.SZ,36.52679474216378,168.7254556188233,0.04008908990138538,35.31249831340709,-22.6901970319734
000002.SZ,29.272840273461785,154.73607484442877,0.03620688266817079,30.568137501784616,-32.08909451157484
1398.HK,21.6667,63.8534,0.0228,20.1052,-20.11110514736707
300146.SZ,30.540189468243756,423.1154554047065,0.03995606637635839,30.880368714914262,-60.28779444705852
300033.SZ,53.89056915039868,1089.6248547733674,0.06342671365223285,66.36395295361532,-27.926204192882796
603517.SH,56.66307857911733,419.26696337118227,0.04504361169221985,32.75499595309726,-28.58058220178055
002157.SZ,68.33333333333333,969.4962205747113,0.09168468595689457,72.08219201045331,-52.218688949830806
1797.HK,116.5054,129.1958,0.1069,75.9039,-41.969310146263524
000725.SZ,55.06607929515417,536.3571610468971,0.03838459409146111,37.012130760223776,-69.9936063888141
002891.SZ,46.579330422125174,659.7205592323193,0.05554575269335276,45.69285774275588,-48.77612614123447
600867.SH,35.33596837944663,359.3859575524929,0.048135786473293175,40.57577608240735,-15.024101112067509
300450.SZ,56.809078771695596,416.24843576577325,0.05647374388363134,41.82045620284503,-22.81767361389377
2020.HK,53.6201,72.9237,0.0489,40.7095,-3.524133645477122
600887.SH,21.84873949579831,211.97477252843294,0.031361791756319105,26.029063433004662,-30.96853846595822
600176.SH,37.247706422018354,197.5776723554585,0.03212458996687785,32.400321185698964,-38.89436071014959
002273.SZ,53.83663366336635,1055.6430749596632,0.06113448524468293,50.97847726990775,-27.75741962554235
002271.SZ,63.968072976054735,399.72688275881586,0.0376044876083484,30.081709962292546,-35.86582619196299
6098.HK,53.3333,66.2261,0.044,35.1255,17.729306779325114
600763.SH,41.919438213205886,255.80934225299393,0.034772895974142,28.689732683888508,-42.48625051400442
603501.SH,62.663877266387736,952.6821636662256,0.07201862935255568,57.55388590144145,-20.647573720085155
