,EV3,PB_LYR
600984.SH,14881466152.35,3.9178182791730123
002138.SZ,18658206711.56,4.223486033515923
000049.SZ,9841892555.0,4.477291950619802
002123.SZ,12986751701.2,3.1091988306544964
300569.SZ,3483770230.08,1.69521068072287
6169.HK,23744841701.13,5.8587313429824635
002271.SZ,61017531172.39,6.264631516145985
002241.SZ,67368357960.48,4.18250906663993
300253.SZ,42461045309.020004,11.373502132960432
300782.SZ,64750000000.0,38.018749502923605
002127.SZ,37117640493.36,7.6393754104861396
000636.SZ,19927889050.86,3.5750935162315325
300036.SZ,11804851257.42,5.54746649113353
300596.SZ,6367623645.2,3.3342281891681997
300009.SZ,17949600254.15,6.833574287433017
2318.HK,1450896723387.4614,1.9119955961644157
300662.SZ,6961540530.0,8.082401374231061
002332.SZ,12744511229.06,4.3326206127835665
0939.HK,1547675015309.806,0.645674536485619
000063.SZ,180230218233.68103,6.798479391086816
002603.SZ,39060631674.350006,4.916741375126443
600584.SH,42828808109.6,3.391727753331308
688111.SH,126715070000.0,20.880513168424933
1299.HK,842085851277.65,1.880228127379165
002343.SZ,3975328871.8199997,2.423119534023483
000036.SZ,6143486863.5,1.241665176351593
002460.SZ,59458137322.3552,7.680875293052027
1888.HK,23446410000.0,1.253723379965438
0005.HK,818307464875.6,0.5711988905000298
601998.SH,226747371965.63867,0.5224654240425123
603068.SH,10884851012.98,8.623929748131804
601818.SH,183259903189.2116,0.6051239003669441
002607.SZ,161092472040.68,46.944577329229865
000921.SZ,12170967285.279795,1.5624728825687138
002818.SZ,8601347013.0,1.733426799841485
300451.SZ,18464195559.68,7.129766790142672
601717.SH,8778322548.42448,0.7714196469268808
601997.SH,25486786987.2,0.6530265134567452
600895.SH,20566597224.0,2.2101354910929945
601066.SH,233334156022.0841,4.759571482231983
600449.SH,7139242957.059999,1.2787072975028868
300016.SZ,4457155782.76,3.0728258956921524
601233.SH,21805627654.600002,1.1473063271226112
002174.SZ,17511814044.99,3.5385043956041016
600801.SH,46751182025.394,2.718519777560688
300725.SZ,12239056519.53,16.51991753550896
601916.SH,83087026709.79999,0.7835622121776605
300440.SZ,5367040000.0,4.139035319333371
600390.SH,33015800469.059998,0.9583196435718279
300588.SZ,1529666554.9999998,3.6599608310629885
300326.SZ,18580491758.1,6.760709233318342
603096.SH,8574467960.0,4.492756514336157
002563.SZ,19834240335.0,1.6859043565129344
000513.SZ,35690321402.36563,3.4839277210169466
1193.HK,93853343156.20001,3.502586770881923
0006.HK,107566787361.59999,1.2582088073925044
