fundCode,maxReduceCode,stockPrice,maxReduceShare,maxReduceVol
001162.OF,000166.SZ,4.710330876724531,-500800.0,-2358933.7030636454
001036.OF,300036.SZ,26.06108727747501,-681400.0,-17758024.870871473
000991.OF,300463.SZ,34.579395007673874,-251600.0,-8700175.783930747
000979.OF,601098.SH,11.474540146573949,-3100330.0,-35574861.05262761
000974.OF,002035.SZ,11.829782142643126,-1829037.0,-21637109.240833554
000971.OF,600030.SH,23.98784843084677,-1310300.0,-31431277.798938524
000960.OF,000661.SZ,511.5344437782485,-90300.0,-46191560.273175836
000913.OF,600763.SH,107.41854344119893,-105500.0,-11332656.333046488
000893.OF,600048.SH,15.580447064045812,-480000.0,-7478614.590741989
000867.OF,300129.SZ,4.688684642370667,-325900.0,-1528042.3249486005
000828.OF,002157.SZ,17.478898555403934,-150700.0,-2634070.012299373
000793.OF,300450.SZ,44.489167843209096,-493100.0,-21937608.663486406
000761.OF,601688.SH,18.89421399734864,-107300.0,-2027349.161915509
000746.OF,603501.SH,174.8150753333924,-37400.0,-6538083.817468876
000729.OF,603063.SH,8.851548306180872,-27800.0,-246073.04291182823
000711.OF,300357.SZ,47.05807898164334,-1690389.0,-79546459.07170111
000697.OF,300383.SZ,25.80570428477961,-708300.0,-18278180.344909396
000594.OF,002353.SZ,28.99496459794718,-10500.0,-304447.1282784454
000586.OF,002891.SZ,25.100918772215113,-248766.0,-6244255.159288865
000513.OF,002271.SZ,32.99695781523098,-801760.0,-26455640.89793959
000471.OF,002142.SZ,25.35034376432872,-662300.0,-16789532.67511491
000309.OF,002212.SZ,24.975321779182554,-898100.0,-22430336.48988385
