,股票代码,股票简称,基本每股收益(元)2019.03.31,基本每股收益(元)2018.12.31,基本每股收益(元)2018.09.30,基本每股收益(元)2018.06.30,基本每股收益(元)2017.12.31,账面市值比(%)2019.05.10,总市值(元)2019.05.10,城市,省份
177,000599.SZ,青岛双星,0.02,0.03,0.07,0.07,0.16,0.7,4169781969,青岛市,山东省
178,000600.SZ,建投能源,0.18,0.24,0.16,0.11,0.09,0.82,12810128588,石家庄市,河北省
179,000601.SZ,韶能股份,0.1,0.28,0.25,0.19,0.41,0.92,5143425944,韶关市,广东省
180,000603.SZ,盛达矿业,0.14,0.6,0.37,0.17,0.41,0.3,6741000510,大兴区,北京市
181,000605.SZ,渤海股份,0.02,0.17,0.1,0.08,0.46,0.74,3121028610,顺义区,北京市
182,000606.SZ,顺利办,0.09,0.12,0.41,0.08,0.08,0.53,5069591717,西宁市,青海省
183,000607.SZ,华媒控股,-0.01,0.1,0.06,0.03,0.14,0.58,5159730939,杭州市,浙江省
184,000608.SZ,阳光股份,-0.03,0.02,-0.01,0.08,0.2,0.43,4446985922,南宁市,广西壮族自治区
185,000609.SZ,中迪投资,-0.09,-0.2,-0.02,-0.02,0.46,0.85,1639975061,丰台区,北京市
186,000610.SZ,西安旅游,-0.02,0.41,-0.04,-0.03,-0.08,0.34,2694191113,西安市,陕西省
187,000611.SZ,*ST天首,-0.02,-0.43,-0.15,-0.09,-0.07,0.4,1229672160,包头市,内蒙古自治区
188,000612.SZ,焦作万方,-0.06,-0.37,-0.12,-0.12,0.15,0.8,5186067364,焦作市,河南省
189,000613.SZ,大东海A,0,0,0,0,0.01,0.04,2020043564,三亚市,海南省
190,000615.SZ,京汉股份,0.02,0.2,0.01,0,0.4,0.31,4519928386,襄阳市,湖北省
191,000616.SZ,海航投资,-0.01,0.24,0.23,-0.06,0.01,0.96,4405122029,大连市,辽宁省
192,000617.SZ,中油资本,0.23,0.8,0.64,0.45,0.76,0.62,1.10889E+11,克拉玛依市,新疆维吾尔自治区
193,000619.SZ,海螺型材,-0.04,0.03,0.01,0.01,0.03,1.04,2062800000,芜湖市,安徽省
194,000620.SZ,新华联,0,0.63,0.16,0.07,0.45,0.83,8004033572,通州区,北京市
