,fundCode,fundName,manager,maxReduceCode,maxReduceShare
236,004450.OF,嘉实前沿科技,张丹华,0268.HK,-3205000.0
239,004352.OF,北信瑞丰研究精选,庞琳琳,300033.SZ,-4200.0
240,004350.OF,汇丰晋信价值先锋,吴培文,600201.SH,-53100.0
241,004292.OF,鹏华沪深港互联网,聂毅翔,1797.HK,-55000.0
244,004241.OF,中欧时代先锋C,周应波,002475.SZ,-7521211.0
245,004189.OF,华商消费行业,何奇峰,600519.SH,0.0
246,004098.OF,前海开源股息率50强,史程,1398.HK,-200000.0
247,004075.OF,交银医药创新,楼慧源,000661.SZ,19200.0
250,003985.OF,嘉实新能源新材料C,姚志鹏,600438.SH,-181400.0
251,003984.OF,嘉实新能源新材料A,姚志鹏,600438.SH,-181400.0
253,003865.OF,创金合信量化多因子C,董梁,018007.SH,-60000.0
254,003853.OF,金鹰信息产业A,樊勇,000063.SZ,-383862.0
255,003834.OF,华夏能源革新,郑泽鸿,300750.SZ,421196.0
256,003745.OF,广发多元新兴,刘格菘,300661.SZ,512026.0
257,003634.OF,嘉实农业产业,姚爽,000876.SZ,-633336.0
258,003625.OF,创金合信资源主题C,李游,601088.SH,-46700.0
259,003624.OF,创金合信资源主题A,李游,601088.SH,-46700.0
260,003492.OF,前海开源外向企业,石峰,019611.SH,-1290.0
261,003416.OF,招商财经大数据策略A,王平,000333.SZ,-800.0
263,003299.OF,嘉实物流产业C,肖觅,601799.SH,0.0
264,003298.OF,嘉实物流产业A,肖觅,601799.SH,0.0
265,003233.OF,创金合信金融地产C,李龑,600837.SH,-9000.0
266,003232.OF,创金合信金融地产A,李龑,600837.SH,-9000.0
267,003231.OF,创金合信医疗保健行业C,皮劲松,000661.SZ,7500.0
268,003230.OF,创金合信医疗保健行业A,皮劲松,000661.SZ,7500.0
269,003191.OF,创金合信消费主题C,陈建军,000876.SZ,-104700.0
270,003190.OF,创金合信消费主题A,陈建军,000876.SZ,-104700.0
271,003145.OF,中融竞争优势,柯海东,300122.SZ,-21400.0
273,003069.OF,光大创业板量化优选A,翟云飞,300014.SZ,-38100.0
274,003054.OF,嘉实文体娱乐C,王凯,600050.SH,-492800.0
275,003053.OF,嘉实文体娱乐A,王凯,600050.SH,-492800.0
276,002980.OF,华夏创新前沿,林晶,600867.SH,-162700.0
277,002952.OF,建信多因子量化,叶乐天,000333.SZ,-10900.0
280,002861.OF,工银瑞信智能制造,农冰立,600519.SH,-100.0
281,002697.OF,中欧消费主题C,郭睿,603345.SH,-17200.0
282,002621.OF,中欧消费主题A,郭睿,603345.SH,-17200.0
283,002595.OF,博时工业4.0,兰乔,300207.SZ,0.0
284,002556.OF,博时丝路主题C,沙炜,600426.SH,-1193300.0
285,002387.OF,工银瑞信沪港深A,张继圣,3968.HK,-138500.0
286,002335.OF,汇丰晋信大盘波动精选C,方磊,601818.SH,-183200.0
287,002334.OF,汇丰晋信大盘波动精选A,方磊,601818.SH,-183200.0
288,002333.OF,汇丰晋信沪港深C,程彧,1299.HK,-80400.0
289,002332.OF,汇丰晋信沪港深A,程彧,1299.HK,-80400.0
290,002300.OF,长盛医疗行业,周思聪,600276.SH,0.0
291,002289.OF,华商改革创新,李双全,000725.SZ,-800000.0
292,002229.OF,华夏经济转型,张帆,002705.SZ,-642240.0
293,002210.OF,创金合信量化多因子A,董梁,018007.SH,-60000.0
296,001975.OF,景顺长城环保优势,杨锐文,603160.SH,87100.0
297,001974.OF,景顺长城量化新动力,黎海威,601318.SH,-142400.0
298,001956.OF,国联安科技动力,潘明,600845.SH,-294020.0
299,001938.OF,中欧时代先锋A,周应波,002475.SZ,-7521211.0
301,001915.OF,宝盈医疗健康沪港深,曹潜,600276.SH,-72867.0
302,001878.OF,嘉实沪港深精选,张金涛,002475.SZ,-6999759.0
303,001877.OF,宝盈国家安全战略沪港深,曹潜,600900.SH,-85655.0
304,001849.OF,前海开源强势共识100强,谢屹,019611.SH,-5660.0
305,001825.OF,建信中国制造2025,孙晟,601398.SH,-714100.0
306,001790.OF,国泰智能汽车,周伟锋,002594.SZ,422567.0
307,001781.OF,建信现代服务业,陶灿,002123.SZ,-23500.0
308,001766.OF,上投摩根医疗健康,方钰涵,300015.SZ,-51505.0
309,001764.OF,广发沪港深新机遇,余昊,2328.HK,-2386000.0
310,001749.OF,招商中国机遇,李亚,002273.SZ,-919100.0
311,001736.OF,圆信永丰优加生活,范妍,002179.SZ,-267758.0
312,001733.OF,泰达宏利量化增强,刘洋,600036.SH,-100000.0
313,001726.OF,汇添富新兴消费,刘伟林,000568.SZ,-175000.0
314,001725.OF,汇添富中国高端制造,赵鹏飞,002044.SZ,-2999860.0
315,001719.OF,工银瑞信国家战略主题,陈小鹭,600570.SH,1600.0
316,001718.OF,工银瑞信物流产业,张宇帆,002475.SZ,-59100.0
317,001717.OF,工银瑞信前沿医疗,赵蓓,300347.SZ,-163950.0
318,001714.OF,工银瑞信文体产业,袁芳,000002.SZ,-637134.0
319,001707.OF,诺安高端制造,史高飞,600673.SH,-2075500.0
320,001705.OF,泓德战略转型,秦毅,000002.SZ,-54300.0
321,001703.OF,银华沪港深增长,周大鹏,603517.SH,-107649.0
322,001696.OF,南方智造未来,应帅,600745.SH,-50000.0
323,001692.OF,南方国策动力,罗安安,600519.SH,-2300.0
324,001685.OF,汇添富沪港深新价值,杨威风,1398.HK,-299000.0
325,001678.OF,英大国企改革主题,张媛,601318.SH,-2200.0
327,001672.OF,国寿安保智慧生活,张琦,300408.SZ,-347406.0
328,001663.OF,中银互联网+,欧阳力君,108602.SZ,0.0
329,001651.OF,工银瑞信新蓝筹,王筱苓,000895.SZ,-179100.0
330,001645.OF,国泰大健康,徐治彪,002683.SZ,-642300.0
333,001638.OF,前海开源优势蓝筹C,吴国清,000166.SZ,-500800.0
334,001637.OF,嘉实腾讯自选股大数据,刘斌,000031.SZ,-420900.0
335,001628.OF,招商体育文化休闲,李佳存,300347.SZ,-43000.0
336,001626.OF,国泰央企改革,饶玉涵,002050.SZ,-134600.0
337,001616.OF,嘉实环保低碳,姚志鹏,600438.SH,-2396301.0
339,001583.OF,安信新常态沪港深精选,袁玮,600383.SH,-1630738.0
340,001579.OF,国泰大农业,程洲,600201.SH,-110700.0
341,001577.OF,嘉实低价策略,李帅,019611.SH,-14240.0
342,001576.OF,国泰智能装备,王阳,002475.SZ,-918523.0
343,001542.OF,国泰互联网+,彭凌志,002475.SZ,-2868900.0
345,001528.OF,诺安先进制造,韩冬燕,600050.SH,-860200.0
346,001521.OF,国寿安保成长优选,张琦,300207.SZ,-40000.0
347,001520.OF,国投瑞银研究精选,桑俊,000063.SZ,-16100.0
348,001496.OF,工银瑞信聚焦30,王筱苓,601318.SH,-54900.0
349,001490.OF,汇添富国企创新增长,李威,000961.SZ,-500000.0
350,001482.OF,上投摩根新兴服务,郭晨,002241.SZ,-47155.0
351,001476.OF,中银智能制造,王伟,300014.SZ,-665500.0
352,001473.OF,建信大安全,王东杰,000651.SZ,-95200.0
354,001416.OF,嘉实事件驱动,张自力,300012.SZ,-2966900.0
356,001409.OF,工银瑞信互联网加,张继圣,601012.SH,-1244469.0
357,001404.OF,招商移动互联网,张林,002410.SZ,-149100.0
358,001396.OF,建信互联网+产业升级,何珅华,002624.SZ,-440103.0
359,001319.OF,农银汇理信息传媒,韩林,300782.SZ,-34900.0
360,001313.OF,上投摩根智慧互联,郭晨,002241.SZ,-1023394.0
361,001291.OF,大摩量化多策略,余斌,601318.SH,-50300.0
362,001277.OF,博时国企改革主题,林景艺,000425.SZ,-3212700.0
363,001245.OF,工银瑞信生态环境,何肖颉,002138.SZ,-16500.0
364,001236.OF,博时丝路主题A,沙炜,600426.SH,-1193300.0
365,001230.OF,鹏华医药科技,金笑非,300651.SZ,-645080.0
366,001223.OF,鹏华文化传媒娱乐,贺宁,002555.SZ,-144400.0
367,001208.OF,诺安低碳经济,蔡宇滨,600176.SH,-1239663.0
368,001195.OF,工银瑞信农业产业,杨柯,002311.SZ,-779920.0
369,001193.OF,中金消费升级,于玥,600887.SH,-17700.0
370,001188.OF,鹏华改革红利,袁航,300232.SZ,-3914460.0
371,001186.OF,富国文体健康,林庆,300003.SZ,-860174.0
372,001178.OF,前海开源再融资主题精选,邱杰,000651.SZ,-250000.0
373,001171.OF,工银瑞信养老产业,赵蓓,300003.SZ,-300000.0
375,001166.OF,建信环保产业,姜锋,000968.SZ,-3099909.0
376,001163.OF,银华中国梦30,薄官辉,000858.SZ,-46708.0
377,001162.OF,前海开源优势蓝筹A,吴国清,000166.SZ,-500800.0
378,001158.OF,工银瑞信新材料新能源行业,张剑峰,601012.SH,-445000.0
379,001126.OF,上投摩根卓越制造,李德辉,600031.SH,0.0
381,001104.OF,华安新丝路主题,谢昌旭,002475.SZ,-1131200.0
382,001097.OF,华泰柏瑞积极优选,方伦煜,601398.SH,-252900.0
383,001072.OF,华安智能装备主题,李欣,002475.SZ,-738400.0
385,001054.OF,工银瑞信新金融,鄢耀,000002.SZ,-400000.0
387,001048.OF,富国新兴产业,魏伟,600031.SH,0.0
388,001047.OF,光大国企改革主题,董伟炜,601318.SH,-50000.0
389,001044.OF,嘉实新消费,谭丽,000895.SZ,-2332702.0
392,001040.OF,新华策略精选,赵强,000333.SZ,-100000.0
393,001039.OF,嘉实先进制造,张淼,600529.SH,-1404413.0
394,001036.OF,嘉实企业变革,谢泽林,300036.SZ,-681400.0
395,001028.OF,华安物联网主题,翁启森,600745.SH,-270400.0
396,001009.OF,上投摩根安全战略,陈思郁,300015.SZ,-77430.0
397,001008.OF,工银瑞信国企改革主题,何肖颉,601601.SH,0.0
398,000996.OF,中银新动力,吴印,002475.SZ,-699921.0
399,000991.OF,工银瑞信战略转型主题,杜洋,300463.SZ,-251600.0
400,000985.OF,嘉实逆向策略,曲盛伟,300012.SZ,-3495100.0
401,000979.OF,景顺长城沪港深精选,鲍无可,601098.SH,-3100330.0
403,000974.OF,安信消费医药主题,陈一峰,002035.SZ,-1829037.0
404,000971.OF,诺安新经济,杨琨,600030.SH,-1310300.0
405,000960.OF,招商医药健康产业,李佳存,000661.SZ,-90300.0
406,000955.OF,南方产业活力,蒋秋洁,601888.SH,-257500.0
407,000925.OF,汇添富外延增长主题,王栩,002044.SZ,-3206640.0
409,000913.OF,农银汇理医疗保健主题,赵伟,600763.SH,-105500.0
410,000893.OF,工银瑞信创新动力,杨鑫鑫,600048.SH,-480000.0
411,000884.OF,民生加银优选,高松,002475.SZ,-337200.0
412,000867.OF,华宝品质生活,光磊,300129.SZ,-325900.0
414,000854.OF,鹏华养老产业,王宗合,300015.SZ,-484023.0
415,000831.OF,工银瑞信医疗保健行业,赵蓓,300482.SZ,-500000.0
416,000828.OF,泰达宏利转型机遇,王鹏,002157.SZ,-150700.0
417,000803.OF,工银瑞信研究精选,宋炳珅,600030.SH,0.0
418,000793.OF,工银瑞信高端制造行业,黄安乐,300450.SZ,-493100.0
419,000780.OF,鹏华医疗保健,郎超,300015.SZ,-1248148.0
420,000778.OF,鹏华先进制造,袁航,600031.SH,-285600.0
421,000761.OF,国富健康优质生活,王晓宁,601688.SH,-107300.0
422,000756.OF,建信潜力新蓝筹,许杰,603063.SH,-48800.0
423,000751.OF,嘉实新兴产业,归凯,601799.SH,187600.0
424,000746.OF,招商行业精选,贾成东,603501.SH,-37400.0
425,000729.OF,建信中小盘,许杰,603063.SH,-27800.0
426,000711.OF,嘉实医疗保健,齐海滔,300357.SZ,-1690389.0
427,000697.OF,汇添富移动互联,杨瑨,300383.SZ,-708300.0
428,000696.OF,汇添富环保行业,赵鹏程,300012.SZ,-1549909.0
429,000688.OF,景顺长城研究精选,曾理,000651.SZ,-2800.0
430,000628.OF,大成高新技术产业,刘旭,600048.SH,-905500.0
431,000594.OF,大摩进取优选,朱睿,002353.SZ,-10500.0
433,000586.OF,景顺长城中小板创业板,李孟海,002891.SZ,-248766.0
434,000577.OF,安信价值精选,陈一峰,002035.SZ,-8765439.0
435,000549.OF,华安大国新经济,翁启森,600745.SH,-32900.0
437,000513.OF,富国高端制造行业,毕天宇,002271.SZ,-801760.0
438,000471.OF,富国城镇发展,蒲世林,002142.SZ,-662300.0
439,000457.OF,上投摩根核心成长,李博,002236.SZ,-3437658.0
440,000418.OF,景顺长城成长之星,刘晓明,000651.SZ,-9200.0
441,000411.OF,景顺长城优质成长,徐喻军,601818.SH,-94000.0
442,000409.OF,鹏华环保产业,孟昊,600438.SH,-185600.0
443,000326.OF,南方中小盘成长,吴剑毅,600176.SH,-205700.0
444,000309.OF,大摩品质生活精选,何晓春,002212.SZ,-898100.0
445,000082.OF,嘉实研究阿尔法,张露,601398.SH,-1789700.0
